Date,y
4/27/12,-0.045640588
8/31/21,-0.022640027
12/27/12,0.79877937
9/24/20,-0.1438525
9/6/13,0.16294011
2/24/14,0.09395772
5/3/18,-0.1581812
9/17/14,-0.17714734
11/16/18,0.0005555749
2/22/22,-0.021691486
5/15/15,0.30890566
1/16/13,0.046908736
1/31/14,-0.043047518
7/31/13,0.02377668
7/29/15,0.15129288
2/12/15,0.56330645
8/11/15,0.11617637
11/28/17,-0.03662947
3/13/13,-0.025718298
5/7/20,4.3320704
5/10/17,0.088853285
12/29/14,0.28898618
2/25/14,0.24741203
4/10/18,-0.2484676
10/1/15,0.5436276
12/22/16,0.13687721
10/21/14,0.66956246
10/28/15,1.0590125
8/29/19,-0.30691332
1/26/17,-0.043353535
2/3/16,0.71541286
8/25/16,0.13167323
5/15/19,0.076747715
3/15/19,-0.1161644
4/17/19,0.4511954
6/19/14,-0.4943945
1/31/13,0.1662544
12/3/19,-0.1614868
4/9/21,0.06184672
1/10/14,0.28741452
2/13/19,-0.27048975
9/1/17,-0.07611564
8/13/15,0.11689074
2/25/19,-0.08437575
6/7/18,0.067328006
4/11/19,0.48276004
7/23/19,-0.07943754
5/26/20,2.37678
6/5/20,1.8815765
1/28/16,0.5455959
10/1/21,-0.12745824
6/1/17,-0.04449098
4/12/13,-0.22266683
9/3/20,0.09948173
1/17/14,0.07687998
12/4/13,0.13361986
5/13/20,3.8359284
6/12/13,0.24980244
1/28/21,-0.121727526
3/14/18,-0.119673416
4/6/17,-0.052300703
11/21/18,-0.031547613
5/13/15,0.39498892
8/31/21,0.0030031726
6/15/16,0.07306507
8/6/13,0.11455557
11/20/13,0.0036018938
6/15/20,2.0357976
9/19/18,0.07236451
3/24/16,0.18113726
5/28/20,1.8793238
6/22/16,0.14853093
9/17/13,0.4107827
8/23/17,-0.27232948
10/28/15,0.92925596
6/22/17,-0.06478802
4/3/15,0.43348148
7/14/21,-0.10596527
3/19/20,0.014841154
1/19/22,-0.091889605
7/30/19,0.06445745
2/1/13,0.20975679
3/3/16,0.6807231
3/27/14,-0.22606912
3/22/12,0.26090664
6/16/14,-0.13061959
6/27/12,0.3157759
12/1/16,-0.097007364
4/21/14,-0.1471616
1/16/13,0.056493655
1/23/15,0.30315882
4/1/21,-0.15870194
4/23/19,0.07131678
6/22/17,-0.035997406
2/26/13,0.04010254
8/1/14,0.09236804
6/19/13,0.19189703
12/15/17,0.07439038
4/9/20,0.15013851
8/30/13,-0.032163437
5/13/15,0.16738293
5/16/12,0.17317873
1/29/20,-0.04844848
10/3/17,-0.119958535
1/25/16,0.5963763
11/22/21,0.050243616
6/22/16,-0.08256385
7/23/20,0.76607513
10/28/13,0.074277475
9/1/15,0.41177976
5/4/16,0.3950487
1/21/15,0.47651717
11/25/20,-0.1735493
1/14/20,-0.06310685
5/16/17,-0.07603077
5/28/13,0.30641663
1/6/16,0.4127734
3/27/20,0.15071155
5/28/13,0.29061264
7/29/20,0.9545318
6/29/18,0.02960445
5/15/13,0.28100288
1/4/18,-0.10143265
5/30/18,-0.031109303
5/7/20,4.4010344
12/10/20,-0.1779277
12/21/17,0.10701707
3/8/17,-0.044872195
1/28/21,-0.13297908
8/17/17,-0.31262952
7/26/12,0.34236878
7/3/12,0.3892847
5/24/17,0.009094968
11/21/19,-0.08225545
10/5/21,-0.10930666
9/14/17,0.035717025
10/26/18,-0.08939128
5/14/21,0.20386225
2/25/21,0.55397904
11/18/15,0.6880621
12/31/18,-0.34779164
4/4/19,0.10829756
6/4/15,0.64867604
5/5/20,2.061731
5/1/20,1.6333288
4/12/18,-0.2620865
1/3/19,-0.28185838
5/14/19,0.031281434
10/29/20,-0.1165448
10/31/17,-0.028945953
12/21/18,-0.15933903
4/5/16,0.042029567
5/2/14,-0.10556974
3/1/19,-0.12002672
2/15/12,0.50528467
2/18/21,0.48370668
1/14/15,0.17679462
1/26/22,-0.04986164
5/3/12,0.1063644
3/29/13,-0.5710739
4/16/18,-0.2327364
11/8/19,-0.23911294
2/10/21,0.031285256
5/28/15,0.34732196
9/21/20,0.52645683
4/1/14,-0.21607521
2/24/20,-0.10674731
11/1/18,-0.049128555
1/12/22,7.850304e-05
8/13/15,0.19155496
2/9/12,0.41754445
8/8/18,0.07981834
6/3/15,0.4447517
12/31/14,0.09911288
3/26/21,-0.1102052
10/10/18,-0.12887345
11/10/21,0.04689423
3/24/15,0.35774854
11/2/15,0.8600248
9/13/12,-0.10285435
2/5/14,0.1612857
2/14/17,-0.15182385
3/1/19,-0.120089106
8/7/20,1.5267894
11/25/20,-0.15480004
11/29/21,0.09848282
7/5/12,0.2912173
7/3/14,-0.06534219
12/28/12,0.7468785
7/3/19,-0.015451871
6/8/21,-0.24322037
6/1/12,0.24430412
12/30/19,-0.38513502
3/18/20,0.14401662
12/19/13,0.12329814
1/3/20,-0.28661546
10/25/12,-0.00095774233
2/23/17,0.02648002
4/28/17,0.17655958
5/16/16,0.066118866
3/4/22,-0.10130589
11/7/13,0.09490287
3/5/15,0.4591563
12/6/18,-0.0061160848
2/1/16,0.52449214
6/15/20,2.1245627
6/2/16,0.10304545
3/7/18,-0.08382349
5/21/12,0.22118583
3/19/20,0.045662284
2/25/16,0.6249833
12/21/15,0.38371396
7/25/17,-0.07052927
12/17/18,-0.026398674
3/1/18,-0.09810094
8/29/16,0.28125474
11/24/21,0.02472967
1/16/20,0.006602086
11/6/18,-0.042685613
5/22/19,0.12629937
3/27/14,-0.3019589
6/23/17,-0.038815126
2/11/20,-0.025529705
3/21/18,-0.014759593
3/15/17,-0.06583769
9/13/18,-0.18337919
2/27/13,0.0074889883
11/21/12,0.09444001
10/30/19,-0.17034896
4/3/17,-0.06457697
10/4/18,-0.11611365
7/14/17,-0.18655643
3/25/15,0.5390756
5/1/18,-0.06453619
2/6/14,0.37417397
10/22/15,0.64157546
10/23/14,0.53567576
4/28/17,0.13885581
10/1/20,-0.2066575
12/14/16,0.057743758
1/3/13,0.36215112
6/19/20,1.8475252
1/12/16,0.43783078
3/28/18,-0.108065404
6/25/15,0.6574774
11/28/12,0.29984236
12/11/20,-0.16629037
11/26/13,0.0033221617
3/7/12,0.051110104
8/14/13,0.09991917
9/24/13,0.06443453
12/13/18,0.022799455
7/15/13,-0.05324596
3/18/22,0.15497443
4/8/20,0.24216604
8/8/19,0.071334824
3/18/16,0.21304688
2/8/17,-0.14790615
11/3/15,0.9758991
7/30/20,0.99623084
5/20/21,-0.0092146695
9/24/20,-0.17390725
2/3/17,-0.18656734
5/23/13,0.36980808
7/10/14,-0.23009712
6/24/14,-0.038631774
12/28/12,0.6922424
3/30/20,0.56037164
3/17/14,-0.14827013
5/15/19,0.052532673
3/13/14,0.011322089
12/14/12,0.32731083
11/6/14,0.09311943
7/22/15,0.0030317605
3/5/19,-0.0884097
6/23/16,-0.2453214
5/5/21,-0.12295535
5/23/18,-0.17107639
5/29/15,0.52563286
12/3/15,0.6199894
11/2/18,-0.030728314
10/19/20,-0.24466348
10/31/13,0.056492135
7/10/13,0.023225076
12/13/16,0.02116254
12/6/12,0.19749385
1/15/14,0.0947077
9/10/21,-0.02614712
2/9/21,-0.08042693
3/22/17,-0.01831039
9/8/16,0.2105644
4/21/16,0.30565915
3/7/19,-0.1524176
1/5/12,1.0068364
7/24/14,0.04047306
11/12/14,0.010282107
9/3/20,0.1431768
12/19/12,0.5473176
12/15/15,0.23119882
10/11/18,-0.1336366
1/11/13,0.17284158
12/8/21,-0.026379649
10/24/13,0.2294145
12/20/12,0.59195936
11/24/21,0.040885977
4/22/14,0.05818341
5/5/15,0.09093094
5/6/15,0.36226276
5/15/14,-0.11132832
10/25/18,-0.09017835
11/15/19,-0.08862898
11/30/12,0.26272354
5/15/14,-0.16374889
11/29/17,-0.0480527
7/22/15,-0.0042149127
4/27/16,0.432008
8/13/21,-0.1296708
12/10/15,0.5846219
1/8/21,-0.29400626
11/18/13,0.09652051
8/29/13,-0.03791544
8/7/15,-0.018832266
2/10/12,0.37756035
3/10/17,-0.033649083
12/31/13,0.22398752
5/9/17,0.03734588
3/6/14,-0.016352747
3/13/12,0.109313756
12/5/12,0.25140834
3/25/13,-0.121601336
2/2/22,-0.08198671
9/14/18,-0.15749805
12/4/20,-0.14655972
4/1/15,0.37690797
2/1/12,0.44142374
11/21/17,-0.05024236
1/10/14,0.25668684
4/15/13,-0.114044785
9/12/19,-0.25562766
7/3/14,-0.2351467
1/9/18,-0.15566462
9/4/14,-0.28969356
10/11/16,-0.10761859
12/29/21,-0.006446857
9/29/20,-0.21028882
10/28/20,-0.2506364
3/27/19,0.31617472
8/30/18,0.04698872
6/19/19,-0.21696728
10/4/17,-0.061051656
10/17/17,-0.109010674
8/15/12,0.28823537
2/18/21,0.48356804
11/10/16,-0.09908922
8/17/15,0.07171726
11/27/17,-0.05574581
9/12/12,-0.12506223
3/1/16,0.7796184
9/26/13,0.28777754
8/28/18,0.06336242
1/22/13,0.18343928
3/17/16,0.22696751
10/22/21,0.0653037
10/23/14,0.5934365
8/14/20,0.7078382
3/26/13,0.010125905
4/11/18,-0.22446959
6/10/16,-0.064473115
1/30/20,-0.05887367
8/30/12,0.26975513
3/20/14,-0.13625365
3/28/16,0.108894825
11/25/16,-0.029930212
4/7/21,-0.11923745
7/2/21,-0.06645132
8/25/15,0.29543453
2/27/13,0.150588
5/7/21,0.0012300909
10/15/18,-0.12040627
2/26/19,-0.032721303
3/12/21,0.11552149
1/15/19,-0.18277298
3/16/22,0.27011126
2/25/20,-0.10544033
6/5/13,0.72972846
6/17/20,1.5611984
4/30/12,0.04179898
9/16/16,0.10667446
1/31/14,-0.043300733
8/5/21,-0.12334782
10/9/15,0.3759808
2/7/12,0.49095854
3/11/16,0.39018697
3/1/12,0.069259346
1/22/13,0.12836026
8/31/17,-0.033119768
9/1/21,-0.01629221
10/2/14,0.21160284
10/5/17,-0.12595099
12/4/19,-0.11218406
10/30/15,0.75854397
9/17/13,0.48081747
12/27/12,0.7535361
9/1/21,-0.029147316
1/11/18,-0.17712125
3/6/14,-0.004467495
4/29/21,0.08858791
12/11/19,-0.13008592
7/13/16,0.119469
8/9/21,-0.1402271
9/21/17,-0.019041382
7/17/14,0.0010540038
7/3/13,0.29323825
4/8/15,0.039501637
9/23/15,0.504599
1/31/18,-0.014352255
4/18/18,-0.083335996
8/9/16,0.007471621
10/5/12,0.40262637
8/3/15,0.42231035
2/25/19,-0.00423865
8/16/12,0.3550529
8/24/17,-0.272366
9/3/14,-0.38465446
7/25/16,0.07148604
9/17/13,0.48093167
6/12/12,0.45051745
7/17/19,-0.09894006
3/15/19,-0.11504257
10/10/12,0.548399
3/13/19,-0.06728157
5/9/17,0.07622796
9/5/13,0.022659719
3/9/16,0.5054412
6/6/19,-0.09009975
7/27/21,-0.08015928
6/10/20,1.5427405
6/16/14,-0.07698899
10/16/17,-0.14025435
9/23/20,-0.23236528
8/30/16,0.048305124
5/29/20,2.2354214
12/16/20,-0.16947976
11/12/15,0.657357
10/3/13,0.31493112
10/16/15,1.0401192
4/5/17,-0.055636767
